Wallabys,Chick fil A,Cheesecake Factory
"3.7. Hmmm... Hmmmm.... Hmmmm... This was a real tough one. I am glad we got the 25 dollar sampler. But this place left me so confused as to how i should feel that i decided to write a review, and judge those who work hard to create.\u003cbr\u003e\u003cbr\u003eRibs- delicious\u003cbr\u003eTritip (only had a sample) - delicious wish i would have this instead of the...\u003cbr\u003ePulled Pork- not good. not bad. no taste, no salt, not nothing just... pork.\u003cbr\u003eBrisket- yummy, and good with a small dab of BBQ suace.\u003cbr\u003eChipotle chicken ummm--- also a good. i recommend it.\u003cbr\u003e\u003cbr\u003eSides:\u003cbr\u003eMac n Cheese - Cheesy and good but eat it quickly once it goes cold... game over.\u003cbr\u003eMashed potatoes - they tasted like... mashed potatoes, so if you like those get um.\u003cbr\u003eColeslaw - i could have gone for some more dressing, very dry and it reminded me of snow ball christmas cookies... which since you arent related to me makes no sense.\u003cbr\u003eBake beans - the beans were very tough as if not cooked all the way which is super sad because the taste was sooooooo good, a little brown sugar and some spicy something. (something is as descriptive as i get).\u003cbr\u003e\u003cbr\u003eTHE VERDICT: Because the ribs and trip trip were so good i gave them a four... you know what, im changing it to a three as we speak. because if im a \u0026#34;fan\u0026#34; doesnt that mean I will go back? I highly doubt i will go back to this place unless i really want tri tip. \u00a0I feel like my tone has been overly harsh this entire time so... in order to make everyone feel better, popo pipi caca.","I love coming to this Chick-fil-A! Even though it can get pretty busy, they always keep it fast moving with short wait times. The restaurant itself was extremely clean and a bright atmosphere! My cashier was Bethany and she was so kind and helpful! The managers here are doing a great job!","Great as always. We had exceptional service with Devin. Our drinks were never empty and we had a party of 8. My husband and I split the Steak Diane, our toddler had bow tie pasta with meatballs and we got the dulce de leche cheesecake. We loved our experience. Yummy food, great atmosphere, and wonderful service."
"Resoundingly average barbecue. My BBQ beef was good, but all meat is good if you slow-cook/smoke it and dump barbecue sauce on it. I\u0026#39;m more interested in the rest of the meal: lackluster salad greens, reconstituted baked beans, and a roll so mediocre that not even a heavy layer of butter could make it worth the carbs.\u003cbr\u003e\u003cbr\u003eTo be fair, most barbecue places totally whiff the side dishes. The only place in the valley I can honestly recommend is Blues Street.\u003cbr\u003e\u003cbr\u003eOn a side note, do Australians even have their own food? I mean, all the Australian places I know just serve steak and fried-egg burgers. Pretty light on originality, if you ask me.","One of my favorite restaurants, to be honest. Yes, it\u0026#39;s fast food, but it\u0026#39;s more than that. The entire grilled menu offers a healthy option for their delectable chicken, and the service is so fast and nice. The store is always kept perfectly clean and is the perfect mix of casual dining and cute decorative rustic accents.",You make a reservation and then when you arrive there is no direction as to what you do next. Line out the door. People cutting the line and going through the exit. Standing in line not sure if the people you\u0026#39;re in line with also have reservations or if their just taking a chance at being seated. Remembering that if your 5 minutes late your reservation is gone. Kind of crazy and pretty stressful since we had to drive 40 minutes to get here. Food is ok here. Server was nice. City Creek one is all around better.
"I\u0026#39;m still torn about this place. The advertising is definitely less than honest, which is a huge bother for me. But the food seems to be better each time I come. My wife really likes the turkey here, and what my Bebe wants she gets, so I get swindled into spending my hard \u00a0earned dollars here.\u003cbr\u003e\u003cbr\u003eThe tri tip is actually really good, I recommend coming on Tuesday when you can get it in the lunch special. \u003cbr\u003e\u003cbr\u003eThe service is always really friendly. I like the flow of the restaurant and they have a plethora of original sauces, The zesty BBQ makes me wanna slap my grandma \u003cbr\u003e\u003cbr\u003eThey also have sports playing, which would be nice if you could hear it over the corny Katy Perry type music they have blasting","I was very disappointed in this chic-fil-a. I went in the drive through during lunch and I get they were busy, but it took \u00a0forever to get through, which is fine. I finally got to the window to pay after waiting a while in line and I pay and the employee looks at me and says, \u0026#34; hey it looks like your food is going to take a bit, can you drive up to the vip section and we will bring it out to you.\u0026#34; All I ordered were two sandwiches so it wasn\u0026#39;t a big order at all. I drive to the VIP section and I wait for ten cars that were behind me in line before I go inside. They all got their food before me and I couldn\u0026#39;t figure out why. I talked to the cashier and she did everything she could to get my order complete ASAP. They let four other cars go through and we\u0026#39;re giving them sandwiches. It was an awful experience and I will not be back to this chic-fil-a until they figure it out.",The food is super yummy and the service is great! I also get workers that have a huge smile on their face and seem to be happy that they are there. I love their chicken dishes and Oreo cheesecake. It is delicious. It is also in a convenient location for shopping while waiting for a table.
"They advertise 2 meals for $17, and exclude the meals that actually make it possible to save money by using the deal. There are much better BBQ places in the area at much better prices with more sound business practices..lol i need a life","Chick-fil-A is the only fast food I eat -- mostly because it\u0026#39;s quality doesn\u0026#39;t feel like fast food. The service is always top-notch (and very friendly), I get my food quickly and the establishments are always clean. I would honestly eat at Chick-fil-A every day if I could!",I get it. We are in unusual times and I\u0026#39;m sure there are people there working their ass off during this Covid bullshit. But there were people waiting there for literally 2.5 hours when they were given pickup times. What\u0026#39;s troubling is when I went in to cancel there must have been 40+ bags just sitting there. No one touched them. No one called any names. The staff at the cheesecake bar were just giggling putting whipped cream on cake. \u003cbr\u003e\u003cbr\u003eAbsolutely ZERO management or order. I knew I should have stuck with Red Rock.
I love the food. Even as a gluten free eater- I have YUMMY options to eat. I could eat here all the time!!,"As busy as this location was (spring break, so there were kids by the boat load), we still received our orders as quickly as normal.","Sat at the bar tonight to try and dodge the long line. And it worked! The bartender was phenomenal, the service was great, and the food and drinks were SO GOOD. The cocktails and food just hit the spot so well. Come here!"
"Pretty good place for quick BBQ. All around good food, decent service, nice atmosphere. Hard to say it\u0026#39;s the best BBQ because of the competition around Utah Valley but a nice lunch spot or for some take out dinner. Occasionally, they offer two entrees, four sides, and dessert for $25 which is a great deal for the amount of food we\u0026#39;re getting compared to their regular menu price. They also do daily specials that gives a little discount to sweeten up the deal. \u003cbr\u003e\u003cbr\u003eI personally always go for the tri-tip steak every time. They never overcook it but they are also flexible if you request it cooked a certain way (for me, rare is the only way to go). Every meal comes with a roll and two sides. I\u0026#39;m not much for bread, but their rolls with some cinnamon butter hits the spot. Get the mac n cheese, SO good. I\u0026#39;ve also tried their chicken and that has proven to be worth to ordering as well. Not a big fan of their brisket and pulled pork, but I\u0026#39;ve only had a taste so perhaps it\u0026#39;s not a just judgement. I LOVE their oreo brownie sundae. It is fantastic, I would come here just for dessert and nothing else. \u003cbr\u003e\u003cbr\u003eThe service is friendly and food comes pretty quickly. There is always plenty of seating. My one gripe about this place is that the meat is smaller portions than expected. Sometimes it\u0026#39;s all right with me, others (when I\u0026#39;m a hangry beast) it\u0026#39;s not. \u003cbr\u003e\u003cbr\u003eI would give this place a try when they\u0026#39;re doing one of those deals on two-person meals, that\u0026#39;s when I think it\u0026#39;s most worth it.","I always love the service, they\u0026#39;re incredibly friendly and the food is very consistent. Really surprised by how good the strawberry shake was. Real strawberries real ice cream. Probably too much for lunch but I really enjoyed it","Food was great, I had the avocado egg rolls and the beet and avocado salad from the skinnylicious menu. \u00a0I made reservations and was seated promptly when I arrived. \u00a0Everyone I encountered was polite and efficient. \u00a0Great experience and just happy I can go out, dine in, and enjoy a great meal."
"I came with low expectations and extremely hungry. This review may be skewed. Forgive me. \u003cbr\u003e\u003cbr\u003eThe meat was great. The mac n cheese was delicious. The mashed potatoes were good (get it loaded). The cashier girl was super helpful. The food came quick. \u003cbr\u003e\u003cbr\u003eNot 5 stars because it ain\u0026#39;t the best I\u0026#39;ve had. Those are special. Well done though!\u003cbr\u003e\u003cbr\u003eRecommendations: \u003cbr\u003e1. Tri-Tip\u003cbr\u003e2. Loaded Smashers\u003cbr\u003e3. Mac n Cheese. \u003cbr\u003e4. Home habanero (spice)\u003cbr\u003e\u003cbr\u003eAnd grab a dessert if you go on a date. The cinnamon rolls are huge but not tasty, but the cobbler looked good!\u003cbr\u003e\u003cbr\u003eCheers. \u003cbr\u003e\u003cbr\u003ewait... There\u0026#39;s more. Google: wallaby Orem coupon, and click on the Valpak link. 2 combos + dessert to share for $17. \u00a0you\u0026#39;re welcome mah peeps.","So in case you live under a rock and don\u0026#39;t know the fine quality of chick fil a then you need to get out from under that rock and run to this place. \u003cbr\u003e\u003cbr\u003eFor some reason almost all fast food joints are dirty and the employees are rude and the food is not that satisfying. Let me just tell you that Chick-fil-A\u0026#39;s business model is the exact opposite. They have friendly workers, the service is always fast and the food is as good as it gets. I\u0026#39;ve tried about everything on their menu and it all deserves 5-stars. \u003cbr\u003e\u003cbr\u003ePro tip: try their breakfast and your life will be forever changed. \u003cbr\u003e\u003cbr\u003eThis location is top notch and will always be a go to for an inexpensive, quality fast meal!","Great food, but overpriced. I got a delicious bowl of white chicken chili, and I would definitely order it again, but $15+ is pretty expensive, and that\u0026#39;s on the cheaper side of the menu. Lighting is pretty dark in the room, and often times there is a wait at this location because it\u0026#39;s a popular place. The cheesecake itself is phenomenal--very rich, it can be split between two people."
"I met up with a friend for dinner at this Wallabys. \u00a0 He suggested this place because it was close to his home and he liked their Lemon Pepper Chicken. \u00a0I got here and it was busy for a weekday evening. \u00a0The line went really quick, though. \u00a0I wanted a little more than him and decided on the 3 Meat Combo for $11.50. \u00a0I got the brisket, beef tri-tip, and the lemon pepper chicken. \u00a0I asked a lot of questions at the time of my purchase. \u00a0How much in ounces I was getting? \u00a0Which part of the chicken? \u00a0How good is the brisket? Yeah, I\u0026#39;m one of those customers that needs to know what\u0026#39;s in the food and how much of it. The cashier was very patient with me, checked with the cooks on the portion sizes, and answered all my questions. \u00a0I got my meal and was shocked with the amount of meat that was on my plate. \u00a0For $11.50, I expected about 3 oz. servings of each meat. \u00a0The cashier even stated that each of my meat servings was about 3 oz. I got a lot more than that and was very pleased. \u00a0My friend even thinks that the cooks hooked it up. \u00a0The brisket was a little dry. I thought that the tri-tip was good and my friend was right, the lemon pepper chicken was the bomb. \u00a0Overall, I expected a lot less from Wallabys based on their Yelp Reviews and price. \u00a0What I got was pretty good BBQ with huge portions. \u003cbr\u003e\u003cbr\u003e2017 Yelp Review #105",This location should not be allowed to call themselves a Chick-fil-A. Terrible customer service. Waited 15 minutes for chicken sandwiches. With no explanation volunteered after ten minutes we asked about the delay and we were given a very curt reply if we are waiting on fillets. Spoke to the manager and we were told we could get our money back if we didn\u0026#39;t want to wait. No apology no sorry for the delay or sorry for the lack of communication. The one shining moment was the young lady who processed our refund she was very apologetic and kind. We will never come back to this sorry excuse for a Chick-fil-A.,I ordered a 30 dollar rib eye and the steak was no bigger then my fist.. \u00a0sad. I know it\u0026#39;s \u00a0not a steak place bbt damn!!!! \u00a0\u003cbr\u003eCheesecake was good. \u00a0200 dollars latter. \u00a0BOOM!
I arrived at about 12:45 and the service was quick \u003cbr\u003e\u003cbr\u003eI ordered a Brisket Sanger it was Ok - the bread was dry and fell apart at first bite \u003cbr\u003e\u003cbr\u003eThe smashers were not what I hoped for it was warm - not hot mashed potatoes with cheese on top (not even melted) the coleslaw has a lot of mayo and not much flavor. \u00a0I came in wanted to really like this place. \u003cbr\u003e\u003cbr\u003eMy daughter loved her Brisket and smashes but also said they were cold. \u003cbr\u003e\u003cbr\u003eMaybe next time,"Consistently good service and good food! I can never complain. This location is on par with every chik-fil-a I\u0026#39;ve been to. They\u0026#39;re prompt, precise, and polite.",There is always a wait to get seated here. \u00a0The wait staff are never really all with it. \u00a0If you don\u0026#39;t get a booth then your seated in the table area crammed right next to people (very awkward). \u00a0This particular visit the server was working 2 tables and just dragged. \u00a0When food arrived veggies were missing was told it\u0026#39;s a new line cook and he forgot. \u00a0The sauce on the Steak Diane had no flavor and the pile of mashed potatoes were full of the skins and cold not very appetizing. \u00a0The artichoke cheese dip was pretty good and then the free bread is always just ok. \u00a0Overall the prices are expensive the service is always lack luster but I find myself coming back a few times a year hoping it\u0026#39;s going to be a better experience but it\u0026#39;s always just meh.
"The sides are nothing memorable. The coleslaw isn\u0026#39;t good.\u003cbr\u003e\u003cbr\u003eThey try to be Australian but nothing authentic about it. \u00a0It\u0026#39;s regular American BBQ and not traditional southern BBQ either. \u00a0Well, except the burrito. \u00a0(Cough.) They have different kinds of sauce to choose from.\u003cbr\u003e\u003cbr\u003eThe dining room is a cavern.\u003cbr\u003e\u003cbr\u003eCatering is available.\u003cbr\u003e\u003cbr\u003eFood: 2.5\u003cbr\u003eService: 3\u003cbr\u003eAmbiance: 2\u003cbr\u003eParking: 3","I give out 5 star ratings rarely. When something is 5 star, it knocks my socks off. It turns into an obsession. 5 star food becomes the standard to which I compare all other food to. Chick-Fil-A is 5 star through and through. \u003cbr\u003e\u003cbr\u003eI go to a Chick-Fil-A, on average, three times a week. That\u0026#39;s no exaggeration, and sometimes I even go more. I\u0026#39;ve been known to say that I \u0026#34;will gladly have my birthday dinner at Chick-Fil-A.\u0026#34; Where to start...\u003cbr\u003e\u003cbr\u003eThe Diet Coke is brewed perfectly. Perfect sweetness. Perfectly carbonated. Chewy pebble ice. Styrofoam cup. I frequent this establishment sometimes for a Diet Coke run alone. \u003cbr\u003e\u003cbr\u003eThe chicken is white meat. It\u0026#39;s not ground up meat, purified, then molded into chicken nugget \u0026#34;shapes.\u0026#34; This is REAL chicken. It stays moist and tender. The breading is just so perfectly seasoned. I love the strips! But the nuggets are incredible, too. Especially paired with the Chick-Fil-A Sauce or Ranch? Holy...\u003cbr\u003e\u003cbr\u003eAlso, their fries. Their waffle fries. They should be their own food group. Salty, crispy. A waffle shape, equivalent of eating 5 fries at once. It\u0026#39;s heaven. \u003cbr\u003e\u003cbr\u003eHonorable mention also goes to their no fuss Classic Chicken Sandwich. I go classic, always. Just a bun, chicken and pickles. Don\u0026#39;t mess it up with cheese, lettuce or tomatoes. \u003cbr\u003e\u003cbr\u003eChick-Fil-A\u0026#39;s employees are kind, helpful, service-oriented. They\u0026#39;ll always ask to fill my drink cup, when dining in. Their car-side service is incredible. Their rewards system is awesome. The restaurants are clean. I love the fresh flowers they put in tables. They offer Cheerio cups for mothers with babies. I CANNOT say enough good about this company and the food they offer. \u003cbr\u003e\u003cbr\u003eBravo, Chick-Fil-A!","We visited on a Sunday late night, the place was empty. We had to wait a couple of minutes to be noticed by the restaurant hostess. They were to busy talking to each other to saw that we were standing in front of their counter. First disappointment of the night. \u003cbr\u003e\u003cbr\u003eImmediately after been sitting our waiter informed us that it was no bread. There was the second disappointment of the night. The food came promptly after ordering. My husband pasta tasted ok, nothing to rave about it. My Cuban sandwich was excellent! The cheesecakes for dessert were good as expected. \u003cbr\u003e\u003cbr\u003eAt the end we gave our credit card to the waiter with our bill/check and he didn\u0026#39;t return it. When we asked for it, he printed a new bill/check and expect form us to paid again. We informed him that he already had our credit card. He went to look for it, but it took him a little longer to found it. That was the third and last disappointment of the night."
Love the Family Meal. \u00a0Pulled Pork and Tri-Tip... MMMmmmm,Was a little dissatisfied with the staff tonight. Seemed to joke around with my order and were not acting very professional. I tried to scan my rewards card but it was too late apparently because the payment was processed and they kind of shrugged it off like oh well. Also dirty tables in the lobby that were not cleaned the whole time we sat down and ate our meal. Not as clean as it usually is.,My friends love this place and I keep going trying to see what they see\u003cbr\u003e\u003cbr\u003eI\u0026#39;m not blind but their food is just marginal in my opinion. \u00a0It\u0026#39;s expensive too and often the wait is unreasonable\u003cbr\u003e\u003cbr\u003eTake me to a great local place any day or time and maybe next time I can convince my friends to explore
"I was really excited to try this place and I don\u0026#39;t think I will return. I ordered the sliced brisket. The brisket came to me chopped, flavorless and cold. The sauces were ok and the only reason I could finish it. I ate the brisket first without to sauce to see what kind of smoke flavor there was. There was hardly any there. Just tasted like cold flavorless meat. So sad.","Never disappoints. It\u0026#39;s Chik-Fil-A... this is a great establishment. Better than the Cougar Eats Im at BYU, they make it greasy and nasty there.","Ordered take out online. I was given a time for pick up and arrived at my designated time. I was the only one waiting for orders at that time. The staff came out and told me it would be a couple more minutes. 35 minutes later.... I got my order. Which consisted of one premade slice of cheesecake and two burgers. I\u0026#39;m just as confused as you are.. pick up time 4:10pm 4:45 they bring it out to me. The lone person waiting for an order. \u003cbr\u003e\u003cbr\u003eI understand we are in \u0026#34;a weird time\u0026#34; but a major restaurant should still be able to keep up with to go orders (since that\u0026#39;s all that\u0026#39;s available) and if they are behind - offer something for the wait. \u003cbr\u003e\u003cbr\u003eThe food was average as usual, the cheesecake delicious but the wait was unacceptable. Maybe if I hadn\u0026#39;t received a pick up time I could be more forgiving. \u003cbr\u003e\u003cbr\u003eFuture guests. Whether you\u0026#39;re dining in or taking out. Be prepared to spend 30 minutes past your scheduled time."
The waiter was a bro came in clutch with some dope rolls. Because the other one was too doughy but he still a bro and came in clutch.,"THIS PLACE IS AMAZING! I would recommend coming here, for a fast food restaurant this place deserves more then a 5 star! The customer service is amazing and I have never experienced such great employees and the environment of the place is amazing! The employees were super kind and vary friendly! The food was amazing and like nothing you can get anywhere else! Particularly this location is amazing and I always come here! One of my favorite here is there frosted lemonade and it is to die for and the chick-fil-A sauce is amazing! So definitely come for the best fast food there is!!!","I\u0026#39;ve previously visited Cheesecake Factory restaurants in San Francisco and Chicago, and this was my second visit to this Salt Lake City location. \u00a0Unfortunately, I\u0026#39;m pretty sure this will also be my last visit to the Salt Lake City venue. \u00a0The problem with this locale is not the food, but rather it\u0026#39;s the wait. \u00a0And honestly it isn\u0026#39;t even the wait itself. \u00a0No, the real problem are the conditions you endure while waiting. \u00a0Years ago, when this location was first being built, I thought that by Cheesecake Factory standards this was going to be an undersized location, which prediction has entirely come true. \u00a0\u003cbr\u003e\u003cbr\u003eOn our most recent visit we arrived just after 4:30 pm (knowing that there would be a wait, we were planning ahead) and once we fought our way through the entrance crowd and waited in line at the reception desk just to put our name in, we were already 15 minutes into an ordeal that I would rather never experience again. \u00a0We were told to check back in an hour, but to expect a 75 minute wait, so as planned we went off to the adjoining mall to kill some time. \u00a0\u003cbr\u003e\u003cbr\u003eAn hour later, as instructed, we returned and somehow is seemed as though the sardine-packed crowd had doubled in size, though nonetheless managed to squeeze into the cramped waiting area. \u00a0We checked in again and we were told it would be another 20 minutes (so now the prediction is an 80 minute wait, which would have been just lovely in retrospect). \u00a0Eighty minutes came and went, as did any semblance of personal space or dignity our foursome once had. \u00a0Honestly, McDonalds was sounding like a world class option at that point--but we survived so long that we couldn\u0026#39;t give up. \u00a0Surrender was simply not an option. \u00a0Well, because this review is threatening to become about as long as our restaurant wait, I\u0026#39;ll just skip ahead and reveal that it took nearly two hours to finally be seated.\u003cbr\u003e\u003cbr\u003eThen, another 15 minutes passed before bread was delivered to our table--I literally thought my 9 year old was going to pass out from hunger. \u00a0After ordering, another 30 minutes passed before our entrees arrived. \u00a0After then ravenously scarfing down our meals, our dinner ordeal finally ended around 8:30 pm--yep, FOUR hours invested in dinner.\u003cbr\u003e\u003cbr\u003eAlthough the Cheesecake Factory has decent food, and a huge variety of it, the food is simply not good enough to warrant this kind of self-inflicted food deprivation and close-quarters, standing room only high endurance waiting. \u00a0In fact, the ONLY reason we came on this occasion is that over the past 2 years we had collected FIVE Cheesecake Factory gift cards and decided it was finally time to get our free meal. \u00a0In the end, it was a mistake. \u00a0I am pretty much convinced that anyone that gives you a Cheesecake Factory gift card in Utah either (1) doesn\u0026#39;t really like you very much, or (2) hopes you have travel plans that include a Cheesecake Factory location elsewhere. \u00a0\u003cbr\u003e\u003cbr\u003eAbsent the inexcusable wait and horrendous herded cattle/mosh pit waiting conditions, I\u0026#39;d probably rate this location a 3-star joint based on the food. \u00a0But, alas, waiting is the name of the game here, so 1-star is all this location deserves. \u00a0Please trust me on this--there are far better restaurant choices, with much better food, and many of such places even participate in the cutting edge 1970s practice of taking reservations! \u00a0Now, THERE\u0026#39;s an idea for you, Cheesecake Factory. \u00a0\u003cbr\u003e\u003cbr\u003eWe will not be back--no matter how many gift cards may befall us."
"Wow! Delicious food and so much that I could only eat half of my dinner. \u003cbr\u003e\u003cbr\u003eI ordered beef brisket and smashed potatoes with grated cheese. Awesome. My meal also came with a roll, drink and coleslaw. \u003cbr\u003e\u003cbr\u003eMy husband loved their ribs and baked beans.","Food \u0026amp; everything was just like other Chicfila\u0026#39; only thing was the bathroom was kinda gross, they can\u0026#39;t control everything but have been to cleaner bathrooms at other locations","This restaurant visit was the result of not being able to decide a type of food we were craving- and they do have a vast amount of menu items. \u00a0\u003cbr\u003eParking can get crazy on weekends, Thursday evening on this occasion it wasn\u0026#39;t too bad, I don\u0026#39;t mind the walk. \u00a0\u003cbr\u003eThe wait time was allegedly 25-30 min (the hostess said it was more like 25). So we waited and waited. \u00a0I know it surely could\u0026#39;ve been worse, but I don\u0026#39;t feel like the waiting area set up is that great. \u00a0People crammed into a space, not really room for groups of 4+people. \u00a0I should\u0026#39;ve got on the waitlist or made a reservation and seen if there was a difference in wait time. \u00a0Next time I will be doing that. \u00a0\u003cbr\u003eSo when we finally were seated it was between two large groups of 6+ people, and we could barely hear each other talk. \u00a0The lights are basically non-existent and I\u0026#39;d suggest looking at your menu with a flashlight. \u00a0\u003cbr\u003eOur waitress, Elaine N., saved this experience as she was attentive, polite, and friendly enough to make some menu suggestions and kept our drinks full. \u00a0Service in general was quick. \u003cbr\u003eThe food wasn\u0026#39;t bad, but it wasn\u0026#39;t like a blown mind experience. \u00a0I had a Parmesan and herb crusted chicken, green beans, and mashed potatoes. \u00a0My husband had some sort of crispy chicken with honey sauce and mashed potatoes. \u00a0The masked potatoes were the highlight of the meal besides the complimentary bread. \u00a0\u003cbr\u003eThe workers seem overworked, on more than one occasion I saw an exasperated expression on their faces. \u003cbr\u003eOverall feeling is that I don\u0026#39;t really want to go back, it is so cramped, even for a \u0026#39;special occasion\u0026#39; I would want to actually be able to talk to whoever I was with. \u00a0You can get kind of comfort food elsewhere for a better price."
"Wallaby\u0026#39;s is the bomb! Everything is so good! Australian BBQ at its best. I love the beef brisket, it\u0026#39;s soft and flavorful. The garlic smashers mashed potatoes are yummy and cucumber salad. The side salad is really good too with their ranch. My husband loves the tri tip steak. They have three different bbq sauces to choose from, zesty, raspberry and original. All three are very tasty. You can\u0026#39;t go wrong with anything you order at wallaby\u0026#39;s. Very good Oreo brownies with vanilla ice cream for dessert.",There\u0026#39;s an expected experience when you go into a Chick-FIL-A or the drive through and this location has it down pat! \u00a0I\u0026#39;ve never felt frustrated waiting because they have at least two or three people working to get your order and get your food. \u00a0And the food is why we go there as often as possible. Yes I\u0026#39;ll be back again soon.,Hands down my favorite restaurant. Go there every year for special occasions. I get something different every time and there is nothing on their menu that isn\u0026#39;t delicious. It\u0026#39;s just one of those solid places that really knows what they\u0026#39;re doing!
"I love Wallaby\u0026#39;s! \u003cbr\u003e\u003cbr\u003eI\u0026#39;ve been several times. Their ribs literally fall off the bone. I\u0026#39;ve also had them cater for an event at BYU. They were very easy to work with, it was apparently the best food we\u0026#39;ve had at an event in the Advertising Program.",One of the best options at Chick-fil-A is the breakfast bowl. It is very very good. I highly recommend it. The only problem is the size I could literally eat three of them and I am not a big eater I recommend that Chick-fil-A increase the size and scale back the price of the breakfast bowl. I would go there much more often for breakfast if they did.,The Cajun Chicken Littles are the best chicken strips you can buy. The Red Velvet Cheesecake is incredible.
Good basic bbq choices. There is a large comfy dining area and a semi -private room you can use for large groups. Their sweet and wild salad is a great side choice. They will make it for you even though it is no longer listed on the menu.,"Chick-fil-A is fantastic and this location is no exception. The service is wonderful, all of the employees are kind and helpful. The only reason that I\u0026#39;m giving it four stars instead of five is because the lemonade tasted weird. Also, after I was done eating I began to have a headache and feel bad. But, this location lives up to the glory of Chick-fil-A for sure!",I still feel like tHey are a little over priced but then again... that cheesecake!! The raspberry and Oreo are Faves of ours!
"I used to love Wallabys when they were in Lindon (maybe it was North Orem). I always ate a simple meal - pork sanger with potato salad. Yesterday I had some time to kill and noticed Wallabys was now on center street, pretty close to where I work, so I thought I would give it a shot.\u003cbr\u003e\u003cbr\u003eI am guessing it is under new management or at least has a new chef - the experience was nothing like the Wallabys I used to beg coworkers to go to. The first signs that this wasn\u0026#39;t the same Wallabys came when I was ordering - I asked for potato salad - \u0026#34;we don\u0026#39;t have that.\u0026#34; It\u0026#39;s possible I was the only one who liked it, so I can\u0026#39;t fault them for that, but back in the day they had the best potato salad.\u003cbr\u003e\u003cbr\u003eOh well, stuff changes - fine, I\u0026#39;ll get the fries that come with the sandwich. When my food finally came out (around 15 mins - seemed like a long time considering nobody else was in the restaurant yet they had a full kitchen) I was disappointed. The bread the sandwich was on wasn\u0026#39;t good at all, the meat itself was nothing like the tender, delicious pork they had before and the french fries were horrible. They tasted like the kind you freeze.\u003cbr\u003e\u003cbr\u003eI contemplated giving them 2 stars instead of 1 just because they had diet mt. dew in the drink machine, but the food was bad enough that I won\u0026#39;t be going back even for the Mt. Dew. It\u0026#39;s sad to see a restaurant that used to be so good slide so far. In addition to the overall disappointing experience it was also expensive. Too bad...","Bomb food, bomb service, I could legitimately put chick-fil-a sauce on all my food ever. It\u0026#39;s kind of become fun to see how many times they respond with, \u0026#34;my pleasure.\u0026#34; Like, they always remember. Well-trained, highly efficient restaurant and people.","Food is always great. Service is always a hit and miss. \u003cbr\u003eWe\u0026#39;ve had some great waiters and we\u0026#39;ve had a waitress who\u0026#39;s messed up our order and gave us attitude, for some reason.\u003cbr\u003eMeals are about $15-$20 on average. Their lower calorie menu is actually yummy, their pastas are delicious, and of course they have the greatest cheesecake (which are about $10 per slice.) \u003cbr\u003eAtmosphere complaints from my grandma: It\u0026#39;s very loud and it\u0026#39;s too dark (she can\u0026#39;t read the menu and she feels like she can\u0026#39;t see the person sitting across from her.)"
